Categories;Integers 1;Integers 2;Integers 3;Integers 4;Integers 5;Integers 6;Integers 7;Integers 8;Integers 9;Integers 10
A;79;63;28;99;12;9;18;59;62;42
B;33;12;45;61;33;49;16;26;49;5
C;90;85;60;66;29;95;52;74;87;52
D;21;9;50;70;72;97;42;3;72;62
E;89;91;33;15;18;68;57;46;79;74
F;56;60;25;81;4;67;35;38;54;71
G;9;79;44;62;24;20;77;40;70;58
H;34;99;50;65;75;90;38;70;91;65
I;63;57;32;50;88;40;89;38;83;36
J;71;94;49;34;64;7;73;25;71;56
K;76;47;18;59;41;96;16;55;8;96
L;52;27;7;63;14;43;66;79;38;32
M;50;12;55;48;99;67;74;71;77;17
N;47;48;89;93;62;45;51;36;45;14
O;4;60;22;36;84;65;94;94;94;88
P;64;29;45;93;14;91;16;61;6;7
Q;42;96;40;46;79;80;8;75;68;28
R;93;34;45;19;91;67;98;45;45;23
S;48;46;18;50;37;24;94;64;64;5
T;69;66;38;55;94;90;93;69;81;69
U;10;60;41;94;80;54;50;41;45;16
V;7;14;70;82;53;70;38;96;59;87
W;20;79;55;7;82;95;4;9;64;8
X;52;17;90;67;51;54;71;63;64;84
Y;87;85;40;62;77;60;57;61;51;80
Z;6;12;93;25;77;89;62;21;98;37
AA;17;100;57;58;8;73;54;67;41;80
AB;56;54;3;76;66;20;62;83;36;8
AC;28;69;32;89;77;100;61;89;66;43
AD;44;62;87;84;76;27;52;15;33;1
AE;10;19;85;89;11;90;13;95;96;72
AF;75;37;48;88;2;62;44;52;58;92
AG;6;75;95;79;61;40;18;84;56;86
AH;33;44;48;13;94;13;88;4;56;59
AI;84;32;58;13;37;70;37;70;41;70
AJ;98;7;9;29;54;11;19;41;21;23
AK;30;41;66;11;74;72;50;22;90;81
AL;79;32;97;78;6;28;51;63;24;18
AM;22;5;58;30;70;45;82;68;59;89
AN;7;90;49;53;6;44;25;6;71;84
AO;32;80;25;67;88;71;50;62;76;14
AP;93;84;65;16;26;55;43;90;88;49
AQ;67;74;75;29;23;59;79;70;2;75
AR;44;78;85;8;59;69;71;82;71;87
AS;8;44;57;35;75;5;11;72;36;64
AT;40;64;36;79;69;85;29;1;72;48
AU;99;26;90;5;57;38;29;90;100;50
AV;99;26;98;46;86;15;88;88;76;34
AW;33;93;42;78;41;29;63;58;41;2
AX;48;10;77;65;28;34;68;92;25;45
AY;52;78;45;32;58;90;63;96;58;29
AZ;60;38;83;75;93;38;93;73;35;8
BA;96;12;62;75;94;45;23;1;62;30
BB;28;17;88;62;64;92;48;45;67;73
BC;66;50;20;53;24;54;56;16;21;77
BD;87;58;97;46;35;11;53;69;47;81
BE;39;89;35;79;18;81;79;73;51;48
BF;34;73;41;11;11;80;90;94;97;75
BG;96;41;56;40;27;18;69;45;17;74
BH;70;47;8;63;94;92;88;27;80;73
BI;8;56;46;22;44;42;52;73;70;37
BJ;21;69;8;75;10;32;20;3;94;19
BK;21;31;76;64;4;12;51;6;66;45
BL;18;84;86;77;4;40;43;37;20;87
BM;12;95;68;74;36;22;45;74;27;6
BN;63;59;44;36;21;56;71;52;71;90
BO;82;97;17;92;83;68;78;30;95;86
BP;90;18;79;42;86;83;79;51;44;14
BQ;21;27;7;89;89;94;22;19;30;96
BR;55;14;63;29;94;54;36;19;35;82
BS;65;81;91;45;93;14;50;33;35;80
BT;7;55;38;56;45;71;28;23;18;27
BU;30;54;99;83;75;67;18;11;19;90
BV;70;84;35;67;99;58;81;67;20;4
BW;46;15;46;12;71;87;18;8;54;23
BX;100;23;81;44;78;47;20;14;53;53
BY;70;35;73;6;42;27;28;95;20;13
BZ;100;22;75;11;48;37;76;4;8;14
CA;18;9;26;44;98;89;66;38;1;41
CB;34;30;69;27;2;93;25;38;96;82
CC;95;42;97;68;91;39;71;58;36;45
CD;37;80;66;17;39;68;17;12;85;33
CE;61;47;71;24;69;74;100;54;48;73
CF;85;17;53;16;20;53;29;72;23;85
CG;68;75;96;68;32;42;58;20;89;16
CH;82;16;85;33;51;84;3;29;33;20
CI;67;68;62;20;60;47;93;28;39;15
CJ;67;54;74;65;49;49;70;30;2;44
CK;20;58;67;94;53;76;71;24;92;67
CL;93;72;61;4;87;6;22;28;81;66
CM;84;5;51;100;83;74;64;88;51;22
CN;36;58;5;94;95;7;62;63;4;66
CO;85;46;30;42;46;92;14;60;100;89
CP;51;39;49;40;39;51;70;89;95;98
CQ;32;29;70;44;8;67;60;7;22;56
CR;48;4;53;13;30;65;5;50;30;73
CS;73;37;21;79;59;61;11;66;68;23
CT;15;90;38;1;55;33;31;80;81;65
CU;83;2;65;67;46;10;95;87;9;30
CV;30;59;21;20;86;45;63;10;45;9
